,price,artist,title,yearCreation,signed,condition,period,movement
422,7500,Julius Lumsdem,Monolith III,2005,Signed verso in graphite,Overall excellent condition. ,Contemporary,Abstract
204,7500,Allison V. Smith,Refinery Road (one of three),2007,[nan],Very good condition,Contemporary,Realism
205,7500,Allison V. Smith,Refinery Road (one of three),2007,[nan],Very good condition,Contemporary,Realism
208,7500,Allison V. Smith,Refinery Road (one of three),2007,[nan],Very good condition,Contemporary,Realism
242,7500,Terry Winters,Fate Map,2013,Signed lower right,"The work is in excellent condition, direct from the publisher.",Contemporary,Abstract
255,7500,Matthew Brandt,"Box, SN1987A-4420-sm.tif",2019,Signed on label on verso,"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
256,7500,Matthew Brandt,"Box, Bar-pt1-pl014_sm.jpg",2019,Signed on label on verso,"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
65,7150,Edward Moran,Boy and His Boat,1875,Signed lower left recto,"Not examined out of frame.Some cracking to painting from age.Nicks and cracks to frame, more prominently on corners.",19th Century,Realism
429,7000,Ruth Bernhard,Creation ,1936,"Signed, titled, dated, and annotated 'TOP' in pencil, the photographer's ‘2982 Clay Street, San Francisco, California, 94115’ studio label, annotated 'Dolls head' in ink, on the reverse.","This print, on paper with a surface sheen and flush-mounted to board, is in generally good condition. Under close examination, the following are visible: faint impressions and scratches; deposits of original retouching; ink deposits along the upper edge; and a glossy area parallel to the lower edge. Visible under raking light are several translucent liquid drips, each approximately 7 inches long, extending from the upper edge.The edges and corners are bumped and there are tiny losses to the emulsion. The upper right corner is creased but does not appear to break the emulsion. The edges of the board are inked.  The reverse is soiled. There are yellowed adhesive remnants and abrasions suggesting that the print was previously affixed to a secondary mount. 'RB124' is written in pencil in an unidentified hand on the reverse.When examined under ultraviolet light, this print does not appear to fluoresce.",Modern,Realism
509,7000,Horst P. Horst,Nails In Technicolor,1941,[nan],"This piece is in overall very good condition. There are a few soft small creases that do not appear to break the emulsion, which are visible only in raking light.",Modern,Realism
425,7000,Ruth Bernhard,Classic Torso,1952,"Signed in pencil on the mount, signed, titled, and dated in pencil on the reverse.","This print is in generally excellent condition.There is blue discoloration, possibly an ink deposit, in the upper corners of the reverse of the mount. 'B625' and '635' are written in pencil in an unidentified hand on the reverse.",Post-War,Realism
283,7000,Douglas Kirkland,"Audrey Hepburn, Paris",1965,Signed Certificate of Authenticity,Excellent condition.,Post-War,Realism
434,7000,Ruth Bernhard,Perspective II,1967,"Signed in pencil on the mount, signed, titled, and dated in pencil on the reverse.",This print is in excellent condition. The sheet is gently rippled.,Post-War,Realism
394,7000,Thomas Struth,"Schönfeldstrasse (Bronze-Reiter), München",1984,"Signed, titled, dated, and editioned '2/10' in pencil on the reverse.Signed in ink on a label and with a Lisson Gallery, London, label on the reverse.","This ferrotyped print, on double-weight Agfa paper, is in generally excellent condition. Upon close inspection in raking light, the following are visible: scattered, minor pitting; a few hairline scratches and scuffs; a sharp, crescent-shaped handling crease in the lower left quadrant; and a v-shaped soft crease in the upper right quadrant.The signed label on the reverse of the frame is annotated 'DM 3,200.-' in an unidentified hand in ink.",Post-War,Realism
395,7000,Thomas Struth,"Yamaguchi, Landscape with Garages",1986,"Signed, titled, dated, and editioned '3/10' in pencil on the reverse. Signed in ink on a label and with a Lisson Gallery, London, label on the reverse.","This large ferrotyped print, on double-weight Agfa paper, is in generally excellent condition. When examined closely in raking light, some minor pitting and a few deposits of original retouching are visible. The upper and lower margins are very gently rippled. The signed label on the reverse of the frame is annotated 'DM 2.900.-' in an unidentified hand in pencil. ",Post-War,Realism
20,7000,Al Held,Fly Away,1992,Signed verso,"This work is in excellent condition, direct from the publisher.",Contemporary,Abstract Expressionism
22,7000,Richard Tuttle,Trans Asian,1993,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Post-Minimalism
98,7000,Tom Otterness,Elijah Cup,1994,Signed and numbered on the bottom,"This work is in excellent condition, direct from the publisher.",Contemporary,Social Realism
97,7000,Lucas  Samaras,Platter,1996,Signed and numbered on the base,"This work is in excellent condition, direct from the publisher.",Contemporary,Surrealism
13,7000,Chris Ofili,"Last Night, New Day",2008,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,"Punk, Young British Artists, Abstract"
23,7000,Matt Mullican,"REPRESENT THE WORK, Logo",2020,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
81,7000,Flip Schulke,Ali Underwater,2010,"Signed and editioned '37 of 99' in pencil by Gary Truman, the photographer's archive manager, and Donna Schulke, the photographer's widow, on the reverse.",This print is in generally excellent condition.,Modern,Realism
420,7000,Maurice Braun,On the River,1935,Signed Maurice Braun lower right corner recto; title hand-written on stretcher bar ,Not examined out of frame.Canvas slightly loose in frame.,Modern,Impressionism
44,7000,James A. Fetherolf,Canadian Spring,1975,Signed Fetherolf (lower right); titled on the stretcher ,The canvas is unlined and tacked to the original stretchers. The canvas is slightly dirty and there is a visible stretcher bar mark in the top register.Under UV: There are no signs of inpainting or previous restoration.,Post-War,Realism
317,6995,Abelardo Morell,Camera Obscura Image of the Brooklyn Bridge in Bedroom,1999,"Signed, titled, dated, and numbered in pencil on the reverse",Print is in generally excellent condition.There is a tiny deposit of original retouching in the lower right corner and a crescent-shaped handling crease in the lower left that is only visible under raking light and does not appear to break the emulsion.,Post-War,Realism
115,6500,John Fischer,Secret Source,1972,[nan],Unpainted stapled edges.Occasional edge wear to canvas.,Post-War,Expressionism
354,6500,Biff Elrod,Other Woman I,2011,"Front lower left ""B.F. Elrod""",Excellent condition.,Contemporary,Pop Art
448,6500,RALPH STEINER,Portfolio III ,1925,"Each signed and dated in pencil on the reverse, 1921-29, printed in 1980-81Together with the printed plate list/colophon, signed and editioned 7 in ink","This work is in overall excellent condition.Under close examination, the following are visible: faint silvering in the darkest areas of the prints and occasional chips to the black margins.There are adhesive remnants, abrasions, and faint soiling on the reverse of the prints.When examined under ultraviolet light, these prints do not appear to fluoresce.",Modern,Realism
25,6500,Pat Steir,Hand Painted Lily #1,2000,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
424,6000,Paul Jenkins,Hellenic Ode,1959,"Signed Paul Jenkins towards lower right; signed Paul Jenkins, titled ""Hellenic Ode"", situated Paris and dated 1959 on the reverse",Not examined out of frame. Minor loss to gilding on frame. Surface wear to plexiglass. ,Post-War,Abstract Expressionism
291,6000,William Klein,"Dorothy + Little Bara, Paris",1960,"Signed, dated and titled in pencil verso",Excellent condition.,Post-War,Realism
113,6000,John Fischer,Cain and Abel,1971,Signed front right lower corner in paint; titled and dated on the verso in ink,Very small hole at center of canvas.Moderate edge wear.,Post-War,Expressionism
124,6000,John Fischer,Untitled ,1971,[nan],Occasional wear to edges.,Post-War,Expressionism
126,6000,John Fischer,Untitled ,1971,[nan],Occasional marks and wear to edges.,Post-War,Expressionism
116,6000,John Fischer,Portrait,1972,Signed and dated on the verso upper right corner in pen,Occasional marks and fraying to canvas edge. ,Post-War,Expressionism
118,6000,John Fischer,Yaweh,1984,Signed and dated on the verso in paint,"Not examined outside of frame.Nicks, scratches and some yellowing to frame. ",Post-War,Expressionism
289,6000,William Klein,Serge Gainsbourg (Cover for 'Love on the Beat' Album),1984,Signed in ink on the photographer's label on verso,Excellent condition.,Post-War,Realism
117,6000,John Fischer,Horizontal Extension,1990,[nan],"Nicks, gouges and moderate edge wear.",Post-War,Expressionism
125,6000,John Fischer,Horizontal Line of Lines,1990,[nan],"Sides are wrapped with adhesive paper. Occasional nicks, gouges and edge wear. ",Post-War,Expressionism
111,6000,Michael Wesely,Square Meals,1996,"A Galerie Walter Storms postcard on the reverse of the mount, with credit, title and date engraved on the side.","Please note, the colors and shades in the online catalogue illustration may vary depending on screen settings. This Cibachrome print is in generally excellent condition. The colors remain vibrant and saturated, with no apparent fading. Visible only upon very close examination are occasional deposits of retouching. When examined closely in high raking light, some shallow scratches care visible, possibly a result of processing. There is an approximately one-inch scratch in the lower right quadrant, primarily in the margin, and each margin corner is scuffed where the print has been in contact with the frame. None of the aforementioned are immediately visible nor do they detract from the overall fine appearance of this photograph.",Contemporary,Abstract
176,6000,Richard Bernstein,Picasso Pixels,1998,"Signed, titled, numbered and dated on the front in pencil",The work is in excellent condition.,Contemporary,Pop Art
58,6000,Grant Hacking,Zebras in the Hills,2000,Signed Grant Hacking © and dated 2000 (lower left),The canvas is unlined and there is minor frame abrasion to the extreme edges.Under UV: The work retains an uneven varnish and there are no signs of inpainting or previous restoration.,Contemporary,Realism
375,6000,Lawrence Weiner,BE THAT AS IT MIGHT - ASPIRE,2009,"Signed ""Lawrence Weiner"" in block capitals and with the artist's signature.",Occasional smudges and wear to corners. ,Contemporary,Conceptual 
21,6000,Tomma Abts,Untitled (small circles),2015,Signed on lower right corner,"The work is in excellent condition, direct from the publisher.",Contemporary,Abstract
272,6000,Mieke Marple,Exotic Garden (Venus Fly Trap),2021,Signed verso,Excellent condition.,Contemporary,Feminist Art 
273,6000,Mieke Marple,Exotic Garden (Flora),2021,Signed verso,Excellent condition.,Contemporary,Feminist Art 
278,6000,Mieke Marple,Erotic Garden (Lily),2021,Signed verso,Excellent condition.,Contemporary,Feminist Art 
112,6000,Russell Young,Marilyn Crying (B+W),[nan],Signed by artist bottom right,This work is in excellent condition.There is some slight warping of paper on the bottom left.Frame has a minor 5 inch scratch to top.Not examined out of frame.,Contemporary,Pop Art
179,6000,Allan Sekula,Abandoned Dover Marine Station,1999,[nan],Good overall condition.Not examined out of frame.,Contemporary,Realism
427,6000,Ruth Bernhard,Eagle/Edin,1941,"Signed, titled, dated '1946,' and annotated 'only one proof' in pencil on the reverse.","This print, on paper with a slight surface sheen, and flush-mounted to board, is in generally very good condition. Visible under close examination are some impressions, scratches, and deposits of original retouching. The print is trimmed to the image and there is minor wear and chipping to the edges and corners.The reverse is appropriately age darkened and soiled. There are several tape remnants, some graphite framing guidelines, and two hinge remnants in the upper left and upper right corners. 'RB246' is written in pencil in an unidentified hand.When examined under ultraviolet light, this print does not appear to fluoresce.",Modern,Realism
419,6000,Maurice Braun,Harbor at Cape Cod,1925,Signed Maurice Braun lower right corner recto,This work has not been examined out of its frame.,Modern,Impressionism
37,6000,James A. Fetherolf,Agathlan (Monument Valley),1975,Signed FETHEROLF (lower right); also titled (on the stretcher),The canvas is unlined and tacked to the original stretchers. There is frame abrasion along the edges with associated chip losses. Under UV: The work retains an uneven varnish. ,Post-War,Realism
311,5995,Harry Callahan,"Skyscraper with Person and Flagpole, New York",1977,Signed in pencil in the margin,"Print is in generally excellent condition.The colors are rich and saturated, with no apparent signs of fading.",Post-War,Realism
128,5995,James A. Fetherolf,Abandoned Barn,1975,Signed Fetherolf (lower right),Work is in original condition.,Post-War,Realism
129,5995,James A. Fetherolf,Untitled (Laguna),1975,Signed Fetherolf  (lower right) ,Work in original condition.,Post-War,Realism
60,5500,Philip Howard Evergood,Wounders of a Frog ,1958,Signed Philip Evergood bottom right corner recto ,Not examined out of frame.Work is in original condition.,Post-War,Expressionism
18,5500,Jockum Nordström,House and Bugs,2008,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Surrealism
355,5500,Biff Elrod,G-OW-RW,2008,Signed verso ,Excellent condition.,Contemporary,Pop Art
211,5500,Hung Liu,Migrant Child: with Bunny,2019,"Signed by artist and numbered, recto",Very good condition,Contemporary,Realism
447,5500,LEWIS W. HINE,Selected Images of Workers ,1913,"One bears the Lewis Hine, Interpretive Photography, Hastings-On-Hudson, New York stamp on the reverse, 1911-15.","This work is in overall excellent condition.Under close examination, the following are visible: faint silvering in the darkest areas of the prints and occasional chips to the black margins.Adhesive remnants, abrasions, and faint soiling on the reverse of the prints.When examined under ultraviolet light, these prints do not appear to fluoresce.",Modern,Realism
145,5500,David Lamelas,Woman Running in Twelve Sections,1980,Signed by artist on bottom right,"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
299,5100,Russell Young,Marilyn Portrait,2011,Signed and numbered recto,Excellent condition.,Contemporary,Pop Art
298,5100,Russell Young,Marilyn Hope,2013,Signed and numbered recto,Excellent condition.,Contemporary,Pop Art
140,5000,Edmund Darch Lewis,Morning on the Brandywine ,1896,Signed and dated lower left recto,Not examined out of frame.No visible loss to painting.Craquelure on surface of canvas from age.Loss to frame on lower right.Discoloration to back of canvas consistent with age.,19th Century,Realism
285,5000,Norman Parkinson,Cardin Hat Over Paris,1948,"Signed, stamped, titled and numbered by the Norman Parkinson Archive",Excellent condition.,Post-War,Realism
433,5000,Ruth Bernhard,Harvest ,1953,"Signed in pencil on the mount, signed, titled, dated, and annotated 'Printed ca. 1959' and 'Vintage' in pencil on the reverse.","This lush, matte-surface print is in generally excellent condition. The mount is faintly soiled and the edges and corners are worn.The reverse of the mount is faintly soiled and there are some scattered fingerprints. The following is written in pencil in an unidentified hand on the reverse: 'AGFA 1143-PAPER, UNIQUE, AOZ-V-89, $4500' and 'RB021.'",Post-War,Realism
282,5000,Raymond Cauchetier,"'À bout de souffle' (Belmondo and Seberg, Champs Elysées, Paris)",1959,"Signed, titled and dated in pencil verso",Excellent condition.,Post-War,Realism
356,5000,Flip Schulke,"Cassius Clay at the 5th Street Gym, Miami Beach, FL",1961,Signed and copyrighted in pencil and with a Flip Schulke studio label on the reverse.,This print is in generally excellent condition. There are some fingerprints in the upper right quadrant.,Modern,Realism
173,5000,Richard Bernstein,Iggy Pop,1970,Signed by artist,The work is in excellent condition.,Contemporary,Pop Art
122,5000,John Fischer,Escape,1981,[nan],Occasional marks and wear to edges. ,Post-War,Surrealism
190,5000,Robert  Motherwell,Blue Gesture (Octavior Paz),1988,Signed and numbered in pencil lower right,Good overall condition.Not examined out of frame.Sheet undulation.,Post-War,Abstract Expressionism
100,5000,John Chamberlain,Tasted Snow,1996,Signed and numbered verso,"This work is in excellent condition, direct from the publisher.",Contemporary,Abstract Expressionism
53,5000,Grant Hacking,"Late Afternoon Shadows, Cheetah",2001,Signed Grant Hacking (lower left),"The canvas is unlined and tacked to the original stretchers.There is frame abrasion along the edges and there are a few scattered pindots of surface accretions within the sky.Under UV: While some pigments fluoresce, they appear to be the artist's original.",Contemporary,Realism
229,5000,Mimmo Paladino,California Suite No. 10,2004,[nan],"The work is in excellent condition, direct from the publisher.",Contemporary,Expressionism
154,5000,Sterling Ruby,Carvings 5 ,2006,[nan],No obvious signs of damage or wear.Not examined out of frame.,Contemporary,Abstract
159,5000,Sterling Ruby,Carvings 4 ,2006,[nan],No obvious signs of wear or damage.Not examined out of frame.,Contemporary,Abstract
163,5000,Sterling Ruby,Carvings 2,2006,[nan],No obvious signs of wear or damage.Not examined out of frame.,Contemporary,Abstract
167,5000,Sterling Ruby,Carvings 3 ,2006,[nan],No obvious signs of damage or wear.Not examined out of frame.,Contemporary,Abstract
169,5000,Sterling Ruby,Carvings 1,2006,[nan],No obvious signs of wear or damage.Not examined out of frame.,Contemporary,Abstract
3,5000,Matthias Dornfeld,Blumenszene,2010,"Signed, titled and dated on the reverse with the artist's stamp",This work is in excellent condition.There is minor craquelure inherent to the artist's work.,Contemporary,Abstract
16,5000,Anne Appleby,Cottonwood,2012,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Minimalism
367,5000,Berndnaut Smilde,Iconoclouds,2013,Artist and printer chops on right front.,Excellent condition.,Contemporary,Conceptual 
369,5000,Allan  McCollum,Lands of Shadow and Substance #27,2014,[nan],Excellent condition.,Contemporary,Conceptual 
370,5000,Allan  McCollum,Lands of Shadow and Substance #21,2014,[nan],Excellent condition.,Contemporary,Conceptual 
371,5000,Allan  McCollum,Lands of Shadow and Substance #2,2014,[nan],Excellent condition.,Contemporary,Conceptual 
2,5000,Leo Gabin,Two on Sidewalk,2016,"Signed, titled and dated on verso",This work is in excellent condition.,Contemporary,Abstract
217,5000,Mike Reesé,Greed Sweet Like Candy,2021,Signed and titled on the reverse,Excellent condition.,Contemporary,Pop Art
218,5000,Carlos W. Desrosiers,Creation no. 008,2021,Signed verso,Excellent condition.,Contemporary,Abstract
62,5000,Sergei Bongart,"Untitled, Still Life with Watermelon",1975,Signed bottom right recto,"Not examined out of frame.No obvious signs of wear to painting.Frame shows signs of wear and use, minor nicks and scrapes.",Post-War,Post-Impressionism
33,5000,Bernard Taurelle,Jeune Fille Songeuse,1950,"Signed bottom left, titled verso",This work is in excellent condition.There is one minor puncture mark to the far left of the canvas.,Post-War,Post-Impressionism
35,5000,Bernard Taurelle,Le Gouter ,1950,"Signed by artist bottom right, titled verso",This work is in excellent condition.Minor chips to the frame's ornament.,Post-War,Impressionism
45,5000,Pierre Couzy,Vigilant Cheetah,1975,Signed P. Couzy (lower right) ,The canvas is unlined and tacked to the original stretchers. Under UV: There are no signs of inpainting or previous restoration. ,Post-War,Realism
49,5000,Pierre Couzy,Cheetah,1975,Signed P. Couzy (lower right),The canvas is unlined and tacked to the original stretchers.There is minor frame abrasion along the edges. Under UV: There are no signs of inpainting or previous restoration.,Post-War,Realism
54,5000,James A. Fetherolf,Big Medicine,1975,Signed FETHEROLF. (lower right); titled (on the stretcher),The work is unlined and tacked to the original stretchers. There is a small surface scuff in the rock formation at lower left. ,Post-War,Realism
55,5000,James A. Fetherolf,Mount Eisenhower (Banff National Park),1975,Signed Fetherolf (lower right); titled (on the stretcher),The canvas is unlined and tacked to the original stretchers. The work is slightly dirty. Under UV: There are no signs of inpainting or previous restoration.,Post-War,Realism
505,4500,Ernst Haas,"NYC, USA",1953,Signed on verso by the artist's son,"This work is in excellent condition. The colors remain bright and saturated with no apparent fading.The Haas Studio label is signed by Alexander Haas, the photographer's son and is titled, dated, editioned '1/15', and annotated in ink.",Post-War,Realism
357,4500,Ralph Morse,Cassius Clay After Defeating Sonny Liston,1964,[nan],"This early print is in generally very good condition. Visible under close inspection are some scuffs, soft handling creases and an approximately one-inch crease in the lower left quadrant that appears to break the emulsion. There is minor edge wear, with some sharp creases that break the emulsion and occasional losses. On the reverse are numerous reproduction notations in crayon and graphite in unidentified hands.",Modern,Realism
151,4500,Joe Goode,Untitled (028C),1971,"Signed, dated, and numbered by artist on bottom","The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
250,4500,Giuseppe Penone,Brain II,2000,"Signed in pencil bottom right edge, numbered bottom left","The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
182,4375,Hossein Edalatkhah,Entitled,2020,Signed on the reverse,The work is in excellent condition.,Contemporary,Expressionism
183,4375,Hossein Edalatkhah,Entitled the Second,2020,Signed on the reverse,The work is in excellent condition.,Contemporary,Expressionism
184,4375,Hossein Edalatkhah,Shahmaran,2020,Signed on the reverse,This work is in excellent condition.,Contemporary,Expressionism
430,4000,Ruth Bernhard,Abstract Torso,1947,"Signed in pencil on the mount, signed, titled, and dated in pencil on the reverse.",This print is in excellent condition.There are some deposits of original retouching.,Post-War,Abstract
344,4000,Flip Schulke,"Cassius Clay, Miami Beach",1961,"Signed and copyrighted in pencil and with a Flip Schulke studio label annotated ‘PAGE: 16.’ in ink, on the reverse.","This print is in generally excellent condition. The margin edges are worn and there is a sharp crease in the upper left margin corner that does not appear to break the emulsion. ‘#40 in show’ is written in pencil on the reverse, possibly in the photographer’s hand.",Post-War,Realism
428,4000,Ruth Bernhard,With Turban No. 1,1962,"Signed in pencil on the mount, signed, titled, and dated '1971' on the reverse of the mat.","This print, with a semi-glossy surface, is in generally excellent condition. Under close examination, some deposits of original retouching and some very faint impressions are visible. A thin excess of dry-mounting tissue is visible on the mount at periphery of the print. The mount is yellowed overall and there is a rust-colored deposit near the signature.  There is a Ginny Williams Collection label on the reverse of the mat.",Post-War,Realism
359,4000,Flip Schulke,Cassius Clay training in a pool at the Sir John Hotel in Miami,1964,"Blindstamped by the photographer’s archive in the margin.Signed and copyrighted in pencil on the reverse, a Flip Schulke, West Palm Beach studio label on the reverse annotated ‘M. Ali’ in ink.",[nan],Modern,Realism
360,4000,Flip Schulke,"Muhammad Ali at the Fifth Street Gym, Miami Beach",1964,"A Flip Schulke, West Palm Beach studio label on the reverse, annotated ‘1964’ in red ink.",This print is in generally excellent condition. There are occasional hairline scratches. In the margin is a piece of adhesive with ‘P74’ and ‘63%’ written in pencil in an unidentified hand.,Modern,Realism
177,4000,Richard Bernstein,Nude Beatles,1968,The Estate of Richard Bernstein stamp on verso,The work is in excellent condition.,Contemporary,Pop Art
431,4000,Ruth Bernhard,Dark Torso with Hands,1971,"Signed, titled, and dated in pencil on the reverse.","This work is in excellent condition.This print on double-weight paper with a surface sheen, is in generally excellent condition. Under close examination, there are some scattered shallow impressions. The photograph is printed to the image and the edges are worn.'RB138' and 'OUT' are written in pencil in an unidentified hand on the reverse. The upper right corner of the reverse is soiled.",Post-War,Realism
175,4000,Richard Bernstein,Muse (Pat Cleveland),1975,The Estate of Richard Bernstein stamp on verso,The work is in excellent condition.,Contemporary,Pop Art
120,4000,John Fischer,Untitled ,1984,[nan],Occasional edge wear to canvas sides and corners.,Post-War,Expressionism
252,4000,Guillermo Kuitca,Coat Check,2002,"Signed, dated and editioned lower right","The work is in excellent condition, direct from the publisher.",Contemporary,Geometric Abstraction
193,4000,Eric Fischl,"Two Bathers, Black and White",2007,Signed E Fischl lower right verso; numbered 33/98 lower left verso,Not examined out of frame.Overall very good condition.,Contemporary,Expressionism
377,4000,Zak Smith,Things I Drew and Pinned to the Wall 2007,2007,[nan],[nan],Contemporary,Punk
379,4000,Zak Smith,Full-Spectrum Dominance in All Theaters 2007,2007,[nan],[nan],Contemporary,Punk
340,4000,Michele Abeles,3-Way,2013,Signed on the reverse.,Not examined out of frame.No obvious signs of wear or damage.,Contemporary,Conceptual 
323,4000,John Baldessari,Visionaire 64 Art Blue Edition,2014,Numbered on portfolio case,Screenprints are in excellent condition.,Contemporary,Conceptual 
14,4000,Marcel Dzama,Here's a Fine Revolution,2015,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Magic Realism 
15,4000,Leonardo Drew,CPP11,2015,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Post-Minimalism
29,4000,Leonardo Drew,CPP10,2015,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Post-Minimalism
358,4000,John Shearer,Muhammed Ali (Training),[nan],[nan],"This print is in generally very good condition. Visible under close examination are hairline scratches, some cloudy areas that may be the result of processing, scuffs, and soft handling creases. ‘25619 / 6C13M 27’ Is written in pencil in an unidentified hand on the reverse.",Modern,Realism
143,4000,Lita Albuquerque,Island Universes I,2015,Signed by artist on front,"The work is in excellent condition, direct from the publisher.",Contemporary,Environmental Art
315,3995,Kota Ezawa,Earth from Moon (After NASA 1969),2006,[nan],"The transparency and light box are in generally excellent condition.Under close inspection, there are scattered hairline scratches and scuffs to the light box's plexiglass and metal components, none of which detract from its overall fine appearance.The electrical components of the light box are functional.",Contemporary,Realism
316,3995,After Kota Ezawa,The Bohemians (After August Sander 1924),2006,[nan],"The transparency and light box are in generally excellent condition.Under close inspection, there are scattered hairline scratches and scuffs to the light box's plexiglass and metal components, none of which detract from its overall fine appearance.The electrical components of the light box are functional.",Contemporary,Realism
321,3995,Harry Callahan,"Brown Grass, Horseneck Beach, Massachusetts",1971,Signed in pencil in the margin,Print is in generally excellent condition.The color appears rich and saturated with no apparent fading.,Post-War,Realism
390,3895,Bruce Nauman,Sequence,1969,Signed in ink lower right,This work is in very good condition.Minor crease and bend to lower right corner of print.,Post-War,Pop Art
416,3800,Arie Smit,Bathing Place,1974,"Signed, titled, and dated in the lower left corner.",This work is in very good condition.Minor scuffs to frame with tear to paper backing.Art not examined outside of frame.,Post-War,Expressionism
207,3680,Charles Arnoldi,Skylar,2013,"Signed by artist and numbered, recto",Very good condition,Contemporary,Abstract Expressionism
212,3680,Charles Arnoldi,Walter,2013,"Signed by artist and numbered, recto",Very good condition,Contemporary,Abstract Expressionism
191,3600,Ferdinand Bassot,Pretty in Pink,1875,Signed F Bassot lower right ,"The canvas is relined. Very fine pigment separation in the greens in left half of composition and in her hair. Small spot of discoloration on the figure's forehead. Under UV light, there is fine craquelure filling in the figure's hair above her forehead and to surrounding green background; two lines of vertical inpainting along stretcher bar, concentrated on her proper left arm and on the dress, continuing on her proper right hand; possible repaired tear circa 3 inches at lower center.",19th Century,Realism
7,3550,Günther  Förg,Untitled (Green),1993,Signed lower right recto; numbered lower left recto ,"This work is in very good condition, direct from the publisher.",Contemporary,Modernism
9,3550,Günther  Förg,Untitled (Orange/Black),1993,Signed lower right recto; numbered lower left recto ,"This work is in excellent condition, direct from the publisher.",Contemporary,Modernism
138,3500,Marc Chagall,"The Angel, M.288",1960,[nan],No obvious signs of wear to print.,Post-War,Surrealism
206,3500,Vernon Fisher,Objects in the Field,1990,"Signed by artist and numbered, recto",Very good condition,Post-War,Conceptual 
249,3500,Giuseppe Penone,Brain I,2000,"Signed in pencil at bottom right edge, numbered bottom left","The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
320,3495,Harry Callahan,"Beach and Shells, Horseneck Beach, Massachusetts",1978,Signed in pencil in the margin,Print is in generally excellent condition.The colors are rich and saturated with no apparent fading.,Post-War,Realism
313,3495,Kota Ezawa,Conical Intersect (After Gordon Matta-Clark 1975),2005,[nan],"The transparency and light box are in generally excellent condition.Under close inspection, there are scattered hairline scratches and scuffs to the light box's plexiglass and metal components, none of which detract from its overall fine appearance.The electrical components of the light box are functional.",Contemporary,Realism
312,3495,Kota Ezawa,The Melody of Destiny,2008,[nan],"The transparency and light box are in generally excellent condition.Under close inspection, there are scattered hairline scratches and scuffs to the light box's plexiglass and metal components, none of which detract from its overall fine appearance.The electrical components of the light box are functional.",Contemporary,Conceptual 
75,3250,Edgar Nye,Going Home #24,1935,[nan],Wear consistent with age and use. ,Modern,Expressionism
8,3075,Dan Walsh,Manifold - Blue,2014,Signed lower right recto; numbered lower left recto ,"This work is in excellent condition, direct from the publisher.",Contemporary,Minimalism
10,3075,Dan Walsh,Manifold - Red,2014,Signed lower right recto; numbered lower left recto ,"This work is in excellent condition, direct from the publisher.",Contemporary,Minimalism
426,3000,Albert Clark &amp; Son,Horse In A Stable,1894,Signed and dated Albert Clark & Son in paint lower left,This work is in good condition with wear commensurate with age and use.Artwork has not been examined outside of frame.Paint loss including scratches.,19th Century,Traditional
437,3000,Ruth Bernhard,Two Cows,1937,"Signed in pencil on the mount, signed, titled, and dated in pencil on the reverse.","This print, on paper with a slight surface sheen, is in generally excellent condition. Under close examination, a few deposits of original retouching are visible.'RB062' and 'SP' are written in pencil in an unidentified hand on the reverse. The reverse is very faintly soiled.",Modern,Realism
436,3000,Ruth Bernhard,Rockport Nude,1946,[nan],"This photograph, on semi-glossy paper, is in generally very good to excellent condition.There are scattered deposits of original retouching, some faint scratches, and a few small translucent liquid droplets. The periphery of the image is somewhat yellowed. The photograph is trimmed to the image and there are a few chips to the emulsion along the edges. Since the reverse of the image is hinged to a mat, it cannot be examined.When examined under ultraviolet light, this print appears to fluoresce.",Post-War,Realism
139,3000,Lucien Hervé,Maquette de Jean Prouvé,1950,"Signed, dated and titled verso",One small crease to photograph on the bottom edge.Artist retouch marks in upper right-hand corner.Cropped to size by artist.,Post-War,Realism
114,3000,John Fischer,Vive la France,1960,[nan],"Some areas of edges are covered with adhesive paper, missing at corners.Moderate edge wear with small gouges to canvas edges and corners.Moderate wear to wood frame.The back fitted with a hanging wire.",Post-War,Expressionism
432,3000,Ruth Bernhard,Joan,1962,Signed in pencil on the reverse.,"This solarized print, on Agfa paper, is in generally excellent condition. There is a 3-inch diagonal crease in the upper right corner that does not appear to break the emulsion. 'RB147' is written in pencil in an unidentified hand on the reverse.",Post-War,Realism
411,3000,Kim Gottlieb Walker,Rod Stewart,1970,Signed and titled bottom right corner ,Excellent condition.,Post-War,Realism
